id,popularity,revenue,genre
249070,2.354654,82347656,Action
205775,2.345821,93820758,Thriller
334074,2.331636,0,Crime
312221,2.331567,137935567,Drama
271718,2.31767,140795793,Comedy
333352,2.29573,32848185,Drama
276907,2.28135,42972994,Crime
284289,2.272044,45895,Thriller
266647,2.234573,128388320,Adventure
347096,2.165433,0,Action
308369,2.141506,0,Comedy
227973,2.140199,246233113,Adventure
321741,2.121884,48623572,Drama
296100,2.096273,52395996,Comedy
263472,2.080935,5214043,Drama
228205,2.070708,63013281,Romance
159824,2.060162,466183544,Animation
333348,2.055572,24000000,Family
285783,2.049886,61181942,Adventure
290764,2.026651,1863315,Action
296099,2.000338,104384188,Adventure
243688,1.984529,95437994,Horror
287424,1.980039,187112,Horror
301875,1.959765,2000000,Drama
181283,1.95632,3324330,Crime
328425,1.926739,58978653,Thriller
274167,1.904898,240360392,Comedy
370687,1.876037,0,Fantasy
307663,1.872696,0,Thriller
309809,1.865007,97571250,Adventure
258509,1.841779,233755553,Adventure
298382,1.82313,18340000,Drama
272693,1.758618,43528634,Romance
283445,1.742286,52882018,Horror
256961,1.73518,107597242,Action
326359,1.724712,0,Adventure
254302,1.661789,0,Action
241251,1.651078,50163103,Thriller
292040,1.646664,0,Thriller
188222,1.532997,49263404,Comedy
252838,1.510096,79799880,Comedy
273477,1.499614,14860766,Comedy
298312,1.495112,98450062,Horror
261023,1.483246,99775678,Crime
336004,1.449072,50136,Crime
287903,1.448002,61548707,Horror
182560,1.443406,208588,Drama
192141,1.41239,54418872,Action
308639,1.40805,17986781,Crime
261392,1.388251,28208085,Comedy
304357,1.388032,61619773,Drama
297291,1.38032,0,Action
266294,1.376605,105011053,Comedy
227719,1.360926,32248241,Science Fiction
86828,1.360827,5189646,Comedy
287948,1.355822,72629670,Thriller
201085,1.345982,74679822,Mystery
277355,1.342839,0,Thriller
264999,1.338481,122413057,Comedy
146301,1.338322,78099553,Horror
223485,1.329702,229094,Romance
294016,1.316239,8235661,Drama
290751,1.315266,32189727,Crime
309245,1.29314,2500431,Comedy
228165,1.291013,311594032,Family
245706,1.284541,4719695,Crime
272878,1.278928,43967255,Adventure
263109,1.25358,59700000,Family
157827,1.251681,0,Drama
321751,1.245224,1702433,Comedy
266396,1.225325,10664749,Action
277685,1.191138,62882090,Horror
268920,1.178831,51680201,Action
280092,1.164724,104303851,Drama
193687,1.161812,118483,Drama
300803,1.144808,0,Action
328589,1.142518,41387687,Comedy
228066,1.138395,34227298,Drama
378373,1.128081,0,Adventure
291270,1.125239,3759286,Animation
294963,1.073349,0,Horror
241257,1.065888,17671101,Horror
245698,1.063055,0,Drama
353326,1.046518,11472454,Drama
346808,1.041922,0,Thriller
250124,1.03839,1477002,Drama
