id,release_year,revenue,genre
224972,2015,0,Documentary
295595,2015,0,Music
371758,2015,0,Mystery
317981,2015,0,Comedy
309889,2015,0,Horror
333103,2015,0,Comedy
263105,2015,0,Drama
319076,2015,0,Documentary
309063,2015,0,Horror
278247,2015,0,Drama
355131,2015,0,Documentary
332839,2015,0,Thriller
367215,2015,0,Thriller
261860,2015,0,Documentary
362434,2015,0,Horror
371759,2015,0,Drama
316761,2015,0,Documentary
341077,2015,0,Thriller
321160,2015,0,Comedy
330037,2015,0,Family
347944,2015,0,Horror
373977,2015,0,Thriller
279972,2015,0,Thriller
306952,2015,0,Comedy
339060,2015,0,Mystery
362439,2015,0,Horror
355600,2015,0,Music
346170,2015,0,Horror
308447,2015,0,Animation
348035,2015,0,Comedy
298032,2015,0,Crime
371833,2015,0,Drama
295886,2015,0,Drama
300654,2015,0,Thriller
365717,2015,0,Comedy
321594,2015,0,Comedy
307931,2015,1301696,Documentary
340247,2015,0,Action
326665,2015,0,Comedy
332706,2015,0,Drama
333377,2015,44695,Documentary
275696,2015,0,Drama
326247,2015,0,Drama
333287,2015,0,Romance
318973,2015,0,Thriller
273899,2015,187674,Drama
321039,2015,0,Horror
345468,2015,0,Drama
269033,2015,0,Comedy
319091,2015,0,Documentary
323435,2015,0,Thriller
318225,2015,0,Documentary
363480,2015,0,Drama
291290,2015,0,Thriller
352552,2015,0,Documentary
343981,2015,0,Documentary
366929,2015,0,Romance
341051,2015,0,Horror
319067,2015,0,Documentary
332177,2015,0,Action
254800,2015,0,Music
291151,2015,0,Drama
332479,2015,0,Science Fiction
299780,2015,0,Drama
348296,2015,0,Comedy
357974,2015,0,Comedy
347258,2015,0,Thriller
312793,2015,0,Science Fiction
340361,2015,0,Comedy
306943,2015,0,Comedy
324325,2015,0,Family
321640,2015,0,Documentary
309919,2015,0,Thriller
303867,2015,0,Animation
325365,2015,0,Documentary
330916,2015,0,Drama
273599,2015,0,Drama
333620,2015,0,Thriller
325843,2015,0,Drama
253303,2015,13684,Horror
356846,2015,0,Drama
331501,2015,0,Science Fiction
329289,2015,0,Horror
334682,2015,0,Documentary
356335,2015,0,Documentary
339928,2015,732655,Comedy
367735,2015,0,Comedy
266764,2015,0,Documentary
328346,2015,0,Documentary
333346,2015,0,Documentary
157336,2014,621752480,Adventure
118340,2014,773312399,Action
100402,2014,714766572,Action
245891,2014,78739897,Action
131631,2014,752100229,Science Fiction
122917,2014,955119788,Adventure
177572,2014,652105443,Adventure
205596,2014,233555708,History
198663,2014,348319861,Action
194662,2014,103215094,Drama
210577,2014,369330363,Mystery
228150,2014,211817906,War
181533,2014,349424282,Adventure
157350,2014,288747895,Action
127585,2014,746000000,Action
240832,2014,463360063,Action
98566,2014,477200000,Science Fiction
225886,2014,126069509,Comedy
242582,2014,38697217,Crime
91314,2014,245500000,Science Fiction
120467,2014,174600318,Comedy
244786,2014,13993093,Drama
119450,2014,708200000,Science Fiction
156022,2014,192330738,Thriller
227159,2014,106645357,Comedy
102382,2014,705717432,Action
137113,2014,370541256,Action
228967,2014,11305175,Action
190859,2014,542307423,War
147441,2014,268031828,Adventure
