id,revenue,production_companies
137333,0,Accelerated Matter
317198,0,Muse Entertainment Enterprises
57876,0,Insurge Pictures
339533,0,The Asylum
277546,0,Paper Street Films
306482,0,Warp Films Australia
362105,0,EveryWhere Studios
245846,17472,Worldview Entertainment
330112,0,Head Gear Films
322766,0,Sony Pictures Television
361931,0,On The Corner Films
318224,0,Jigsaw Productions
309503,0,Protozoa Pictures
348811,0,VMI Worldwide
310135,0,Epic Pictures Group
355111,0,Mattel
335866,0,Votiv Films
295592,16661077,Disneynature
335970,0,Happy Madison Productions
366142,0,Illumination Entertainment
310121,7449681,Northern Lights Films
361263,0,Sony Pictures Television
324308,494506,Magnolia Pictures
326923,0,Johnson Production Group
356842,0,BBC Films
339530,0,Universal 1440 Entertainment
331190,2801508,Itaca Films
301729,0,Storm Vision Entertainment
395883,0,Ambi Pictures
356300,0,Neophyte Productions
218784,70958,Columbia Pictures
310137,0,Dark Factory Entertainment
342917,0,Warner Bros. Animation
79698,0,Corsan
337960,0,Goalpost Pictures
296130,0,Dark Dunes Productions
327418,0,Warner Bros. Animation
246133,0,The Made Bed Productions
328869,0,Bron Studios
308032,643557,Abandon Pictures
329829,0,Starhaus Filmproduktion
330544,0,The Zanuck Company
299551,0,The Safran Company
207270,0,Tall Man Films
307946,0,Egoli Tossell Film
356905,0,WTFN Entertainment
345637,0,Pixar Animation Studios
284286,3447633,Broad Green Pictures
340816,0,Unstuck
331446,0,The Asylum
351901,0,WWE Studios
357681,0,First Movie Companie
333657,4444,Radar Pictures
336845,0,Lifetime Network
343795,4842699,Emmett/Furla Films
294562,0,Cinetel Films
297556,0,DC Comics
354743,0,Hartswood Films
157422,0,After Dark Films
316885,0,Blenkov & Schønnemann Pictures
228973,0,Téléfilm Canada
320048,0,Start Motion Pictures
359305,0,BBC
329004,0,K5 International
362180,0,Arcadia Motion Pictures
243752,0,Wernham Entertainment
291866,0,Midnight Road Entertainment
330127,0,Malka Media Group
323694,0,Charlie Productions
334028,0,Caliber Media Company
354924,0,Centron Pictures
368256,0,Caliber Media Company
347847,0,Scatena & Rosner Films
295490,0,Lucky Coffee Productions
291865,0,MPI Pictures
334531,0,Paul Schiff Productions
324803,0,Hiding in the Attic
339355,0,Ascot Elite Home Entertainment
309304,7087452,Depth of Field
306966,0,Filmax Group
226458,0,GO Productions
339148,0,Unbound Feet Productions
347754,0,Universal Pictures
326284,0,Odyssey Media
317144,0,Raw TV
277558,0,NGN Productions
338928,2642899,Participant Media
291189,0,Unified Pictures
309425,0,Believe Entertainment
287689,0,HBO Films
325189,0,Disney Channel
298582,0,Carmel Creek Productions
301228,0,T Squared Film
343934,0,Paramount Pictures
296025,0,Aloupis Productions
371442,0,Eastside Films
325173,0,Bleiberg Entertainment
282313,0,FilmBuff
300542,0,Washington Square Films
318044,0,NetFlix
316715,0,Feelgood Fiction
308027,0,Beachside Films
355020,0,Passion Pictures
323665,0,Traction Media
347548,0,Bright Cold Day Films
353345,0,WT Canada Productions
323370,0,Campfire LLC
337958,0,Last Cab Productions
333674,0,Room 101
301728,0,Storm Vision Entertainment
256030,0,WithanO Productions
300666,0,Strings of Films
347642,0,Black Fawn Films
