id,popularity,revenue,keywords
294562,0.298628,0,monster
306197,0.295946,0,woman director
297556,0.404363,0,superhero team
316885,0.291244,0,suicide
228973,0.290424,0,camping
323967,0.289526,0,god
359305,0.309811,0,woman director
329004,0.286266,0,male nudity
330127,0.278583,0,interview
323694,0.277844,0,sex
334028,0.277613,0,suicide
354924,0.277035,0,new zealand
253406,0.264997,0,woman director
291865,0.261932,0,terror
334531,0.261717,0,american football
324803,0.260045,0,found footage
309304,0.259794,7087452,road trip
339342,0.097514,0,tattoo
306966,0.256542,0,europe
226458,0.256286,0,possession
339148,0.255458,0,hong kong
340968,0.249595,0,mayor
347754,0.248964,0,hitchhiker
317144,0.247595,0,stalking
338928,0.247426,2642899,education
291189,0.246609,0,criminal
309425,0.245948,0,christian
287689,0.24495,0,tennis
325189,0.243691,0,high school
298582,0.243321,0,dancing
301228,0.242078,0,drug
343934,0.242,0,summer
282313,0.154846,0,genetics
300542,0.236709,0,independent film
318044,0.22758,0,voice
316715,0.224797,0,press
279144,0.221502,0,interview
358895,0.219603,30400,drug use
323370,0.21789,0,parapsychology
337958,0.355707,0,suicide
333674,0.217288,0,agoraphobia
301728,0.215864,0,mind control
366018,0.215386,0,christmas
256030,0.214563,0,female nudity
356149,0.212872,0,based on true story
300666,0.21254,0,father-son relationship
373558,0.209036,0,pop culture
329205,0.230913,0,ukraine
321769,0.207133,0,internet
251471,0.206155,0,pop culture
174340,0.205318,0,comedian
309298,0.204356,0,pastor
285840,0.203224,0,male nudity
321109,0.201696,0,manipulation
341886,0.260306,0,exorcism
311615,0.198261,0,defy media
333873,0.197788,0,behind the scenes
293941,0.195324,0,woman director
360203,0.253157,0,robbery
294132,0.193323,104507,love triangle
301629,0.193063,0,sister sister relationship
331592,0.19254,0,secret
342464,0.191534,0,woman director
316410,0.334085,0,sex
106845,0.13631,0,reality tv
323966,0.179636,0,hitman
354857,0.087904,0,time travel
333653,0.176744,0,woman director
75861,0.253949,0,depression
323272,0.731022,67790117,christian
343921,0.168354,0,baby
361671,0.129455,0,art
346494,0.16414,0,suicide attempt
321974,0.162526,0,biography
359255,0.158021,0,haunted house
355178,0.157172,0,sex
310491,0.156851,0,dysfunctional family
319096,0.154161,0,biography
360341,0.150713,0,keith richards
329556,0.14964,0,rape
241927,0.14811,0,canada
321668,0.145945,0,bloodthirstiness
315024,0.145489,0,tyrannosaurus rex
323674,0.270378,0,relationship problems
324253,0.143042,0,record industry
395560,0.142759,0,space
308084,0.266117,0,taxi
268725,0.139527,0,suicide
308361,0.139356,0,stockholm syndrome
327029,0.138353,0,tokusatsu
249916,0.138068,0,female nudity
339065,0.137772,0,factory worker
244563,0.137133,0,japan
325113,0.129104,0,teenage girl
320996,0.126594,0,stand-up
312797,0.126187,0,obsession
333350,0.122543,0,mustang
224972,0.114264,0,feminism
295595,0.11303,0,gunshot wound
371758,0.112284,0,england
317981,0.11096,0,vampire
333103,0.110136,0,comedian
263105,0.11004,0,transsexuality
319076,0.109689,0,biography
278247,0.10808,0,animation
355131,0.108072,0,sexuality
332839,0.106757,0,road trip
367215,0.106091,0,prison
362434,0.101543,0,cult
316761,0.101426,0,stand up comedy
321160,0.10091,0,wedding
347944,0.09779,0,identity
279972,0.097214,0,monster
306952,0.096624,0,cheating
339060,0.096299,0,miracle
362439,0.093462,0,teleportation
355600,0.093212,0,music
308447,0.090238,0,cartoon
348035,0.090045,0,stand up comedy
298032,0.088912,0,post traumatic stress  disorder
371833,0.088764,0,london
365717,0.082569,0,casino
321594,0.082444,0,stand-up
307931,0.081956,1301696,brother brother relationship
340247,0.156386,0,fight
326665,0.08182,0,stand up comedy
332706,0.080974,0,pimp
333377,0.080754,44695,upper class
275696,0.079491,0,independent film
326247,0.078363,0,wife husband relationship
333287,0.077836,0,woman director
318973,0.077252,0,small town
273899,0.076109,187674,stonewall riot
345468,0.073883,0,infection
269033,0.070776,0,dark comedy
318225,0.0608,0,breast cancer
363480,0.059943,0,mistaken identity
352552,0.054828,0,cult
343981,0.052542,0,sport
319067,0.051262,0,miami
332177,0.051107,0,prison
332479,0.047256,0,space battle
347258,0.037487,0,experiment
312793,0.037147,0,spoof
306943,0.079539,0,school
324325,0.034534,0,twin sister
321640,0.033378,0,murder
309919,0.056244,0,self-defense
330916,0.030113,0,small town
273599,0.030005,0,suicide
253303,0.025288,13684,hotel
356846,0.025252,0,video game
356335,0.018224,0,video game
367735,0.01705,0,stand up comedy
266764,0.014647,0,woman director
328346,0.030371,0,individual
157336,24.949134,621752480,saving the world
118340,14.311205,773312399,marvel comic
100402,12.971027,714766572,washington d.c.
245891,11.422751,78739897,hitman
131631,10.739009,752100229,resistance
122917,10.174599,955119788,corruption
177572,8.691294,652105443,brother brother relationship
205596,8.110711,233555708,gay
198663,7.137273,348319861,based on novel
194662,6.907148,103215094,times square
210577,6.438727,369330363,falsely accused person
228150,6.415818,211817906,world war ii
181533,6.286692,349424282,night watchman
157350,6.14502,288747895,based on novel
127585,6.052479,746000000,1970s
240832,5.947136,463360063,artificial intelligence
98566,5.787396,477200000,martial arts
225886,5.701683,126069509,marriage
242582,5.522641,38697217,journalism
91314,4.983782,245500000,sequel
120467,4.93082,174600318,hotel
244786,4.780419,13993093,jazz
119450,4.452507,708200000,leader
156022,4.145209,192330738,revenge
227159,4.105685,106645357,prison
102382,4.101979,705717432,marvel comic
137113,3.990452,370541256,deja vu
228967,3.989231,11305175,cia
190859,3.863074,542307423,sniper
147441,3.81374,268031828,moses
124905,3.689601,529076069,monster
102651,3.582315,758410378,fairy tale
254904,3.573028,32556119,cia
242512,3.489314,102529779,death of a friend
